feature,gain,split
max_lift,125574.59252551757,1019
completeness,102479.00196522474,388
max_confidence,87175.75044286251,686
popularity_x_lift,51779.28508466482,536
city_rank,47084.24924083054,665
fills_missing_slot,42479.68739122152,183
cand_popularity_rank,36794.96663361788,585
cand_avg_price,31028.613305807114,924
veg_compatible,30452.53719162941,98
price_ratio,23922.055679798126,1512
price_vs_user_avg,23805.98807489872,1462
cand_typical_role,23260.465318202972,138
cart_value,20367.14820164442,1298
total_co_count,20094.568389525637,834
completeness_gap,18548.49088227749,83
cand_solo_ratio,15277.689387589693,815
restaurant,13273.687331996858,221
user_avg_order_value,13253.222421064973,998
city_lift,13033.86594997719,1001
cand_category,11111.924483418465,234
user_avg_items,10267.85134768486,782
items_in_cart,9130.91906940937,260
user_order_count,6546.390181303024,576
cuisine_city_share,5944.453690357506,449
user_weekend_ratio,5086.311165094376,503
cart_has_side,5027.119594693184,81
user_single_item_ratio,4494.384666442871,375
order_hour,4075.496200978756,380
hour_sin,3829.7415211200714,372
cand_flavor_profile,3616.59328186512,241
hour_cos,3433.7784718945622,321
cand_cuisine,3218.9282423853874,165
cand_order_frequency,2765.5782047510147,175
cand_veg_nonveg,2506.589351475239,86
complement_fills_gap,2244.898750066757,92
cart_size_bucket,1896.745620727539,39
cart_has_main,1681.9570934772491,36
city,1543.5172477960587,142
copurchase_pairs,1485.8112921714783,101
cuisine_city_rank,1288.9378844499588,54
meal_period,1102.5446676015854,113
cart_has_drink,530.1994364261627,31
is_weekend,511.68199396133423,56
city_item_signal,312.8820438981056,36
user_is_cold_start,221.4320890903473,22
cart_has_dessert,185.42887043952942,12
is_local_favorite,35.53620147705078,1
